date,amount,description
,,НПК МАДЖЕНТА ДЕВЕЛОПМЕНТ
,,СДМ-БАНК
,,МОДУЛЬБАНК
,,Пополнение через Промсвязьбанк
,,Пополнение через ПРИВОЛЖСКИЙ Ф-Л ПАО ПРОМСВЯЗЬБАНК
,,Элекснет
2017-02-09,50000,Перевод с карты
2017-02-05,10000,Перевод с карты
2017-02-05,30000,Перевод с карты
2017-01-30,20000,Перевод с карты
2016-08-02,10000,TINKOFF BANK CARD2CARD
2016-07-13,30000,TINKOFF BANK CARD2CARD
2016-07-13,75000,TINKOFF BANK CARD2CARD
2016-07-13,10000,TINKOFF BANK CARD2CARD
2016-07-13,30000,TINKOFF BANK CARD2CARD
2016-06-24,10000,TINKOFF BANK CARD2CARD
2016-06-24,30000,TINKOFF BANK CARD2CARD
2016-06-19,10000,TINKOFF BANK CARD2CARD
2016-06-19,30000,TINKOFF BANK CARD2CARD
2016-05-28,10000,TINKOFF BANK CARD2CARD
2016-05-28,30000,TINKOFF BANK CARD2CARD
2016-05-21,10000,TINKOFF BANK CARD2CARD
2016-05-21,30000,TINKOFF BANK CARD2CARD
2016-05-18,10000,TINKOFF BANK CARD2CARD
2016-05-18,30000,TINKOFF BANK CARD2CARD
2016-05-17,30000,TINKOFF BANK CARD2CARD
2016-05-17,10000,TINKOFF BANK CARD2CARD
2016-05-16,30000,TINKOFF BANK CARD2CARD
2016-04-23,75000,TINKOFF BANK CARD2CARD
2016-04-22,50000,TINKOFF BANK CARD2CARD
2019-04-30,34773.09,Банковский перевод
2019-04-30,19833.05,Банковский перевод
2019-04-19,42500,Банковский перевод
2019-04-03,15819.2,Банковский перевод
2019-04-03,134923,Банковский перевод
2019-03-20,42500,Банковский перевод
2019-03-01,43499,Банковский перевод
2019-02-20,42500,Банковский перевод
2019-02-01,44386.48,Банковский перевод
2019-01-29,7560.48,Банковский перевод
2019-01-18,42500,Банковский перевод
2019-01-15,14760.16,Банковский перевод
2018-12-27,170280.57,Банковский перевод
2018-12-18,12006.45,Банковский перевод
2018-12-17,42500,Банковский перевод
2018-12-03,56946,Банковский перевод
2018-11-20,42500,Банковский перевод
2018-11-02,59449.13,Банковский перевод
2018-10-19,42500,Банковский перевод
2018-10-08,3870.09,Банковский перевод
2018-10-03,135805,Банковский перевод
2018-09-20,42500,Банковский перевод
2018-09-03,47902.3,Банковский перевод
2018-08-20,14000,Банковский перевод
2018-08-03,45000,Банковский перевод
2018-08-02,44669.58,Банковский перевод
2018-07-20,40000,Банковский перевод
2018-07-03,96000.3,Банковский перевод
2018-06-20,40000,Банковский перевод
2018-06-01,24000.2,Банковский перевод
2018-05-25,8976.12,Банковский перевод
2018-05-18,40000,Банковский перевод
2018-05-03,36190.24,Банковский перевод
2018-04-23,17529.36,Банковский перевод
2018-04-20,40000,Банковский перевод
2018-04-03,97500,Банковский перевод
2018-03-20,40000,Банковский перевод
2018-03-02,45000,Банковский перевод
2018-02-26,800,Банковский перевод
2018-02-20,35000,Банковский перевод
2017-05-05,1500,Card2Card MOSKVA G RUS
2016-12-16,30000,Пополнение карты
2016-05-19,24852.64,TINKOFF BANK CARD2CARD
2017-06-10,50000,Перевод с карты
2017-09-11,10000,Перевод с карты
2017-07-17,50000,Перевод с карты
2017-10-24,10000,Перевод с карты
2017-10-13,10000,Перевод с карты
2016-05-28,40000,Перевод на карту
